Time,TX_Current
0,0.351242
0.00520833333333333,0.584812
0.0104166666666667,0.916027
0.015625,1.35628
0.0208333333333333,1.90835
0.0260416666666667,2.56578
0.03125,3.31433
0.0364583333333333,4.13505
0.0416666666666667,5.00792
0.046875,5.91504
0.0520833333333333,6.84242
0.0572916666666667,7.78049
0.0625,8.72349
0.0677083333333333,9.66835
0.0729166666666667,10.6137
0.078125,11.5588
0.0833333333333333,12.5036
0.0885416666666667,13.4479
0.09375,14.3919
0.0989583333333333,15.3353
0.104166666666667,16.2784
0.109375,17.221
0.114583333333333,18.1633
0.119791666666667,19.1051
0.125,20.0466
0.130208333333333,20.9876
0.135416666666667,21.9283
0.140625,22.8685
0.145833333333333,23.8083
0.151041666666667,24.7477
0.15625,25.6866
0.161458333333333,26.6251
0.166666666666667,27.5632
0.171875,28.5008
0.177083333333333,29.4379
0.182291666666667,30.3747
0.1875,31.3111
0.192708333333333,32.247
0.197916666666667,33.1825
0.203125,34.1176
0.208333333333333,35.0522
0.213541666666667,35.9864
0.21875,36.9201
0.223958333333333,37.8533
0.229166666666667,38.7861
0.234375,39.7184
0.239583333333333,40.6502
0.244791666666667,41.5815
0.25,42.5125
0.255208333333333,43.4429
0.260416666666667,44.3729
0.265625,45.3024
0.270833333333333,46.2314
0.276041666666667,47.1599
0.28125,48.0879
0.286458333333333,49.0155
0.291666666666667,49.9424
0.296875,50.869
0.302083333333333,51.7949
0.307291666666667,52.7204
0.3125,53.6453
0.317708333333333,54.5698
0.322916666666667,55.4938
0.328125,56.4172
0.333333333333333,57.3401
0.338541666666667,58.2624
0.34375,59.1842
0.348958333333333,60.1056
0.354166666666667,61.0263
0.359375,61.9465
0.364583333333333,62.8661
0.369791666666667,63.7851
0.375,64.7036
0.380208333333333,65.6215
0.385416666666667,66.5389
0.390625,67.4557
0.395833333333333,68.372
0.401041666666667,69.2876
0.40625,70.2027
0.411458333333333,71.1172
0.416666666666667,72.0311
0.421875,72.9443
0.427083333333333,73.857
0.432291666666667,74.7691
0.4375,75.6805
0.442708333333333,76.5914
0.447916666666667,77.5017
0.453125,78.4113
0.458333333333333,79.3203
0.463541666666667,80.2287
0.46875,81.1365
0.473958333333333,82.0436
0.479166666666667,82.9501
0.484375,83.856
0.489583333333333,84.7612
0.494791666666667,85.6658
0.5,86.5697
0.505208333333333,87.4729
0.510416666666667,88.3755
0.515625,89.2775
0.520833333333333,90.1788
0.526041666666667,91.0794
0.53125,91.9794
0.536458333333333,92.8786
0.541666666666667,93.7772
0.546875,94.6751
0.552083333333333,95.5723
0.557291666666667,96.4689
0.5625,97.3647
0.567708333333333,98.2598
0.572916666666667,99.1543
0.578125,100.048
0.583333333333333,100.941
0.588541666666667,101.833
0.59375,102.725
0.598958333333333,103.616
0.604166666666667,104.506
0.609375,105.395
0.614583333333333,106.284
0.619791666666667,107.172
0.625,108.059
0.630208333333333,108.946
0.635416666666667,109.831
0.640625,110.716
0.645833333333333,111.601
0.651041666666667,112.484
0.65625,113.367
0.661458333333333,114.249
0.666666666666667,115.13
0.671875,116.01
0.677083333333333,116.89
0.682291666666667,117.769
0.6875,118.647
0.692708333333333,119.524
0.697916666666667,120.401
0.703125,121.276
0.708333333333333,122.151
0.713541666666667,123.025
0.71875,123.899
0.723958333333333,124.771
0.729166666666667,125.643
0.734375,126.514
0.739583333333333,127.384
0.744791666666667,128.253
0.75,129.122
0.755208333333333,129.989
0.760416666666667,130.856
0.765625,131.722
0.770833333333333,132.587
0.776041666666667,133.451
0.78125,134.315
0.786458333333333,135.177
0.791666666666667,136.039
0.796875,136.9
0.802083333333333,137.76
0.807291666666667,138.619
0.8125,139.477
0.817708333333333,140.335
0.822916666666667,141.191
0.828125,142.047
0.833333333333333,142.902
0.838541666666667,143.756
0.84375,144.609
0.848958333333333,145.461
0.854166666666667,146.312
0.859375,147.162
0.864583333333333,148.012
0.869791666666667,148.86
0.875,149.708
0.880208333333333,150.554
0.885416666666667,151.4
0.890625,152.245
0.895833333333333,153.089
0.901041666666667,153.932
0.90625,154.774
0.911458333333333,155.615
0.916666666666667,156.456
0.921875,157.295
0.927083333333333,158.133
0.932291666666667,158.971
0.9375,159.807
0.942708333333333,160.643
0.947916666666667,161.477
0.953125,162.311
0.958333333333333,163.144
0.963541666666667,163.975
0.96875,164.806
0.973958333333333,165.636
0.979166666666667,166.464
0.984375,167.292
0.989583333333333,168.119
0.994791666666667,168.945
1,169.77
1.00520833333333,170.593
1.01041666666667,171.416
1.015625,172.238
1.02083333333333,173.059
1.02604166666667,173.879
1.03125,174.698
1.03645833333333,175.515
1.04166666666667,176.332
1.046875,177.148
1.05208333333333,177.963
1.05729166666667,178.777
1.0625,179.589
1.06770833333333,180.401
1.07291666666667,181.212
1.078125,182.021
1.08333333333333,182.83
1.08854166666667,183.637
1.09375,184.444
1.09895833333333,185.249
1.10416666666667,186.054
1.109375,186.857
1.11458333333333,187.659
1.11979166666667,188.461
1.125,189.261
1.13020833333333,190.06
1.13541666666667,190.858
1.140625,191.655
1.14583333333333,192.451
1.15104166666667,193.245
1.15625,194.039
1.16145833333333,194.832
1.16666666666667,195.623
1.171875,196.414
1.17708333333333,197.203
1.18229166666667,197.991
1.1875,198.778
1.19270833333333,199.564
1.19791666666667,200.349
1.203125,201.133
1.20833333333333,201.916
1.21354166666667,202.697
1.21875,203.478
1.22395833333333,204.257
1.22916666666667,205.035
1.234375,205.812
1.23958333333333,206.588
1.24479166666667,207.363
1.25,208.137
1.25520833333333,208.909
1.26041666666667,209.681
1.265625,210.451
